epsilon_env,cost,env
1217575500.0,1889059815.5,1217575500.0
1815263077.7777777,1615934690.052115,1815263077.7777777
2412950655.5555553,1342809564.6042304,2412950655.5555553
3010638233.3333335,1138371982.6616418,3010638233.3333335
3608325811.111111,980279948.9009426,3608325811.1111107
4206013388.888889,830830525.7197119,4206013388.8888884
4803700966.666667,682952948.1779321,4803700966.666667
5401388544.444445,558319177.131181,5401388544.444445
5999076122.222222,446610507.660101,5999076122.222221
6596763700.0,372288283.7,6596763700.0
