epsilon_cost,cost,env
372288283.7,372288283.7,6596763700.0
541096231.6777778,541096231.6777778,5483982053.922562
709904179.6555555,709904179.6555555,4689629674.118421
878712127.6333333,878712127.6333333,4014522260.594816
1047520075.6111112,1047520075.611111,3346305942.2055087
1216328023.588889,1216328023.588889,2767449075.2493567
1385135971.5666666,1385135971.5666666,2320326560.236862
1553943919.5444446,1553943919.5444446,1950919266.1586504
1722751867.5222223,1722751867.5222223,1581511972.0804393
1891559815.5,1889059815.5,1217575500.0
