epsilon_env,cost,env
1580423500.0,2559472903.5,1580423500.0
2407012233.3333335,2129896007.97649,2407012233.3333335
3233600966.666667,1697819112.4529805,3233600966.6666665
4060189700.0,1418072986.7955863,4060189700.0
4886778433.333334,1157661369.6697607,4886778433.333334
5713367166.666667,954384429.0524606,5713367166.666666
6539955900.0,797310428.033388,6539955900.0
7366544633.333334,645215923.0387721,7366544633.333334
8193133366.666667,499581318.34073234,8193133366.666665
9019722100.0,416324327.1,9019722100.0
