epsilon_cost,cost,env
416324327.1,416324327.1,9019722100.0
654729724.4777778,654729724.4777777,7313783388.150414
893135121.8555555,893135121.8555555,6035686499.751501
1131540519.2333333,1131540519.2333333,4985818385.132471
1369945916.6111112,1369945916.6111112,4211619397.426774
1608351313.9888887,1608351313.9888887,3461487360.4786267
1846756711.3666668,1846756711.3666668,2948674504.4854145
2085162108.7444444,2085162108.7444444,2492590836.3236103
2323567506.1222224,2323567506.1222224,2036507168.161805
2561972903.5,2561972903.5,1580423500.0
