epsilon_cost,cost,env
739530637.7,739530637.7,9450847700.0
960646808.5666667,960646808.5666668,8039448110.974374
1181762979.4333334,1181762979.4333334,6838015539.256989
1402879150.3000002,1402879150.3000002,5680794684.835242
1623995321.1666667,1623995321.1666667,4731501498.361469
1845111492.0333335,1845111492.0333333,3987856580.26682
2066227662.9,2066227662.9,3244211662.1721716
2287343833.7666664,2287343833.7666664,2633414447.314554
2508460004.633333,2508460004.633333,2149539562.6583915
2729576175.5,2727076175.5,1671135500.0
